Province code,,Province name,,General Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,  Türkiye,,65 739 229,32 705 591,33 033 638,1 667 829,215 478,1 452 351,2 195 658,493 518,1 702 140,11 830 806,4 644 454,7 186 352,4 974 614,2 810 722,2 163 892,12 281 753,6 739 602,5 542 151,17 998 752,10 152 585,7 846 167,12 563 347,6 479 411,6 083 936,1 569 093,835 361,733 732,254 203,147 098,107 105,403 174,187 362,215 812
1,,  Adana,,1 733 360,860 070,873 290,52 956,7 095,45 861,63 064,15 273,47 791,297 587,116 311,181 276,132 775,80 192,52 583,348 741,190 600,158 141,482 604,267 446,215 158,308 683,158 445,150 238,36 046,19 173,16 873,4 905,2 774,2 131,5 999,2 761,3 238
2,,  Adıyaman,,439 005,221 730,217 275,24 785,3 273,21 512,15 829,4 768,11 061,70 552,28 803,41 749,39 254,20 720,18 534,98 873,54 489,44 384,114 263,67 079,47 184,66 590,37 018,29 572,6 844,4 495,2 349,729,498,231,1 286,587,699
3,,  Afyonkarahisar,,589 286,291 494,297 792,11 779,1 189,10 590,19 382,3 666,15 716,146 264,53 478,92 786,53 290,29 236,24 054,115 109,64 291,50 818,144 992,85 918,59 074,82 835,44 920,37 915,10 160,5 790,4 370,1 621,1 046,575,3 854,1 960,1 894
4,,  Ağrı,,346 697,181 468,165 229,25 463,3 444,22 019,29 314,8 754,20 560,61 476,30 334,31 142,23 733,16 313,7 420,89 264,52 104,37 160,71 380,44 738,26 642,39 842,22 318,17 524,4 276,2 662,1 614,455,317,138,1 494,484,1 010
5,,  Amasya,,278 430,136 733,141 697,6 435,948,5 487,9 708,2 159,7 549,66 299,25 273,41 026,22 756,11 600,11 156,45 606,24 383,21 223,72 676,41 690,30 986,48 519,27 106,21 413,4 732,2 701,2 031,747,451,296,952,422,530
6,,  Ankara,,4 585 683,2 241 407,2 344 276,68 802,7 254,61 548,73 276,12 798,60 478,623 787,211 909,411 878,229 824,121 780,108 044,703 767,379 115,324 652,1 401 308,751 673,649 635,1 223 192,622 846,600 346,203 334,104 027,99 307,41 023,22 445,18 578,17 370,7 560,9 810
7,,  Antalya,,2 046 298,1 035 747,1 010 551,17 952,2 462,15 490,57 390,11 330,46 060,358 182,148 282,209 900,147 002,82 923,64 079,358 663,201 910,156 753,597 389,332 922,264 467,437 013,219 254,217 759,45 736,23 383,22 353,6 772,3 887,2 885,20 199,9 394,10 805
8,,  Artvin,,145 569,72 787,72 782,3 624,454,3 170,4 721,802,3 919,28 796,9 537,19 259,9 679,5 603,4 076,22 079,12 364,9 715,46 381,27 570,18 811,27 011,14 662,12 349,2 435,1 368,1 067,461,288,173,382,139,243
9,,  Aydın,,938 809,463 189,475 620,13 773,1 973,11 800,32 699,7 107,25 592,216 314,90 600,125 714,77 291,44 264,33 027,163 601,90 964,72 637,236 617,126 789,109 828,170 851,87 088,83 763,17 919,9 450,8 469,2 895,1 663,1 232,6 849,3 291,3 558
