Year,Province Code,Province Name,Total,Male,Female,Total Illiterate,Male Illiterate,Female Illiterate,Total Literate Without Diploma,Male Literate Without Diploma,Female Literate Without Diploma,Total Primary School,Male Primary School,Female Primary School,Total Primary Education,Male Primary Education,Female Primary Education,Total Lower Secondary School,Male Lower Secondary School,Female Lower Secondary School,Total Upper Secondary School,Male Upper Secondary School,Female Upper Secondary School,Total Universities and Higher Institutions,Male Universities and Higher Institutions,Female Universities and Higher Institutions,Total Master,Male Master,Female Master,Total Doctorate,Male Doctorate,Female Doctorate
,2,Adıyaman,543 029,275 246,267 783,25 966,3 941,22 025,63 699,29 458,34 241,113 739,51 167,62 572,39 254,20 720,18 534,110 474,60 194,50 280,114 263,67 079,47 184,66 590,37 018,29 572,6 844,4 495,2 349,729,498,231
,3,Afyonkarahisar,686 196,341 116,345 080,13 278,2 022,11 256,62 647,25 823,36 824,186 941,74 383,112 558,53 290,29 236,24 054,126 023,69 734,56 289,144 992,85 918,59 074,82 835,44 920,37 915,10 160,5 790,4 370,1 621,1 046,575
,4,Ağrı,449 814,234 031,215 783,25 808,3 648,22 160,76 902,33 045,43 857,105 007,52 734,52 273,23 733,16 313,7 420,100 788,57 708,43 080,71 380,44 738,26 642,39 842,22 318,17 524,4 276,2 662,1 614,455,317,138
,5,Amasya,316 138,156 312,159 826,7 057,1 286,5 771,26 096,10 796,15 300,82 651,33 676,48 975,22 756,11 600,11 156,49 909,26 561,23 348,72 676,41 690,30 986,48 519,27 106,21 413,4 732,2 701,2 031,747,451,296
,6,Ankara,5 287 062,2 601 298,2 685 764,79 434,13 130,66 304,390 390,175 585,214 805,920 874,364 452,556 422,229 827,121 782,108 045,777 895,416 520,361 375,1 401 308,751 673,649 635,1 223 192,622 846,600 346,203 334,104 027,99 307,41 023,22 445,18 578
,7,Antalya,2 384 566,1 209 967,1 174 599,24 820,6 257,18 563,210 484,90 263,120 221,500 772,221 968,278 804,147 002,82 923,64 079,392 209,218 633,173 576,597 389,332 922,264 467,437 013,219 254,217 759,45 736,23 383,22 353,6 772,3 887,2 885
,8,Artvin,162 202,81 268,80 934,3 849,573,3 276,12 144,4 602,7 542,35 831,13 137,22 694,9 679,5 603,4 076,24 011,13 315,10 696,46 381,27 570,18 811,27 011,14 662,12 349,2 435,1 368,1 067,461,288,173
,9,Aydın,1 072 679,531 829,540 850,15 960,3 193,12 767,93 728,38 493,55 235,272 809,119 537,153 272,77 291,44 264,33 027,177 472,97 934,79 538,236 617,126 789,109 828,170 851,87 088,83 763,17 919,9 450,8 469,2 895,1 663,1 232
,10,Balıkesir,1 190 347,591 747,598 600,18 535,4 021,14 514,90 064,38 067,51 997,320 081,131 415,188 666,76 011,41 908,34 103,180 266,98 837,81 429,273 717,153 314,120 403,202 141,108 422,93 719,19 916,10 844,9 072,2 868,1 756,1 112
,11,Bilecik,209 550,105 757,103 793,3 018,626,2 392,14 460,6 599,7 861,51 859,20 136,31 723,14 554,7 490,7 064,33 103,18 213,14 890,56 091,33 041,23 050,32 356,17 423,14 933,3 076,1 671,1 405,533,323,210
,12,Bingöl,258 009,129 793,128 216,11 986,1 945,10 041,30 231,13 245,16 986,43 906,20 641,23 265,17 460,9 964,7 496,48 052,24 952,23 100,68 578,37 001,31 577,32 597,18 743,13 854,3 706,2 404,1 302,583,439,144
