"İllere göre bitirilen eğitim durumu, 2008-2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Attained education level by provinces, 2008-2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[6 ve daha yukarı yaştaki nüfus-Population 6 years of age and over]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Genel toplam                                                                                                                                                                                                         General Total","","","","Okuma yazma bilmeyen                                                                                                                                                                                                        Illiterate","","","","Okuma yazma bilen fakat bir okul bitirmeyen                                                                                                                                                                           Literate without a diploma","","","","İlkokul                                                                                                                                                                                                                                    Primary school","","","","İlköğretim                                                                                                                                                                                                                                Primary education","","","","Ortaokul ve dengi meslek okulu                                                                                                                                                                                                                    Lower secondary school                         ","","","","Lise ve dengi meslek okulu                                                                                                                                                                                                                                          Upper secondary school","","","","Yüksekokul veya fakülte                                                                                                                                                                                                                Universities and other higher educational institutions","","","","Yüksek lisans 
(5 veya 6 yıllık fakülteler dahil)                                                                                                                                                                                                                Master (Including 5 or 6 Years Faculties)","","","","Doktora                                                                                                                                                                                                                                        Doctorate","","","","Bilinmeyen                                                                                                                                                                                                                                 Unknown","","",""
"Yıl-Year","","İl Kodu-Province code","","İl Adı-          
Province name","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female","","Toplam-Total","Erkek-Male","Kadın-Female",""
"2008","","","","  Türkiye","","064 241 226","032 170 749","032 070 477","","004 930 012","000 986 790","003 943 222","","013 771 384","006 721 306","007 050 078","","018 078 358","008 800 944","009 277 414","","006 615 736","003 503 079","003 112 657","","002 795 749","001 791 178","001 004 571","","009 970 816","005 749 685","004 221 131","","003 508 954","002 110 229","001 398 725","","000 247 544","000 149 807","000 097 737","","000 073 244","000 047 029","000 026 215","","004 249 429","002 310 702","001 938 727",""
"","","1","","  Adana","","001 811 205","000 898 624","000 912 581","","000 153 345","000 031 024","000 122 321","","000 399 323","000 198 426","000 200 897","","000 469 036","000 230 288","000 238 748","","000 191 137","000 099 449","000 091 688","","000 084 299","000 051 502","000 032 797","","000 300 221","000 163 672","000 136 549","","000 093 801","000 055 790","000 038 011","","000 004 705","000 002 676","000 002 029","","000 001 505","000 000 974","000 000 531","","000 113 833","000 064 823","000 049 010",""
"","","2","","  Adıyaman","","000 511 721","000 253 940","000 257 781","","000 070 930","000 015 274","000 055 656","","000 140 760","000 068 622","000 072 138","","000 107 482","000 055 086","000 052 396","","000 067 115","000 035 021","000 032 094","","000 016 956","000 012 428","000 004 528","","000 062 867","000 039 780","000 023 087","","000 013 952","000 009 904","000 004 048","","000 000 506","000 000 377","000 000 129","","000 000 103","000 000 080","000 000 023","","000 031 050","000 017 368","000 013 682",""
"","","3","","  Afyonkarahisar","","000 630 437","000 311 624","000 318 813","","000 048 679","000 007 833","000 040 846","","000 128 258","000 060 949","000 067 309","","000 228 018","000 108 773","000 119 245","","000 069 829","000 035 257","000 034 572","","000 026 293","000 019 036","000 007 257","","000 082 334","000 050 919","000 031 415","","000 023 466","000 015 655","000 007 811","","000 001 408","000 000 878","000 000 530","","000 000 412","000 000 315","000 000 097","","000 021 740","000 012 009","000 009 731",""
"","","4","","  Ağrı","","000 450 048","000 234 149","000 215 899","","000 069 662","000 016 819","000 052 843","","000 176 398","000 089 959","000 086 439","","000 057 624","000 036 339","000 021 285","","000 033 812","000 022 451","000 011 361","","000 005 175","000 003 956","000 001 219","","000 027 576","000 021 154","000 006 422","","000 005 404","000 003 745","000 001 659","","000 000 416","000 000 313","000 000 103","","000 000 111","000 000 069","000 000 042","","000 073 870","000 039 344","000 034 526",""
"","","5","","  Amasya","","000 298 120","000 148 166","000 149 954","","000 021 656","000 004 770","000 016 886","","000 059 860","000 027 595","000 032 265","","000 095 430","000 044 449","000 050 981","","000 032 176","000 016 299","000 015 877","","000 012 249","000 008 489","000 003 760","","000 042 760","000 025 982","000 016 778","","000 014 956","000 010 129","000 004 827","","000 000 494","000 000 341","000 000 153","","000 000 103","000 000 064","000 000 039","","000 018 436","000 010 048","000 008 388",""
"","","6","","  Ankara","","004 146 674","002 061 157","002 085 517","","000 154 348","000 024 052","000 130 296","","000 687 275","000 331 107","000 356 168","","000 977 183","000 423 991","000 553 192","","000 387 537","000 203 353","000 184 184","","000 245 614","000 148 782","000 096 832","","000 930 776","000 503 239","000 427 537","","000 442 315","000 249 167","000 193 148","","000 044 598","000 026 367","000 018 231","","000 016 239","000 009 843","000 006 396","","000 260 789","000 141 256","000 119 533",""
"","","7","","  Antalya","","001 677 830","000 850 294","000 827 536","","000 083 612","000 015 315","000 068 297","","000 305 486","000 150 625","000 154 861","","000 539 306","000 264 171","000 275 135","","000 168 374","000 086 771","000 081 603","","000 075 481","000 047 747","000 027 734","","000 273 733","000 150 182","000 123 551","","000 113 052","000 066 714","000 046 338","","000 004 817","000 002 886","000 001 931","","000 001 188","000 000 758","000 000 430","","000 112 781","000 065 125","000 047 656",""
"","","8","","  Artvin","","000 154 311","000 077 231","000 077 080","","000 011 301","000 001 951","000 009 350","","000 027 904","000 012 930","000 014 974","","000 047 708","000 021 743","000 025 965","","000 014 589","000 007 578","000 007 011","","000 007 950","000 005 597","000 002 353","","000 027 549","000 017 408","000 010 141","","000 007 024","000 004 740","000 002 284","","000 000 269","000 000 180","000 000 089","","000 000 048","000 000 034","000 000 014","","000 009 969","000 005 070","000 004 899",""
"","","9","","  Aydın","","000 888 012","000 442 739","000 445 273","","000 068 265","000 013 395","000 054 870","","000 161 693","000 078 469","000 083 224","","000 319 426","000 162 253","000 157 173","","000 087 643","000 045 290","000 042 353","","000 032 508","000 020 551","000 011 957","","000 119 872","000 064 658","000 055 214","","000 049 074","000 029 339","000 019 735","","000 001 697","000 001 022","000 000 675","","000 000 552","000 000 361","000 000 191","","000 047 282","000 027 401","000 019 881",""
"","","10","","  Balıkesir","","001 052 149","000 524 335","000 527 814","","000 068 878","000 016 192","000 052 686","","000 175 882","000 087 081","000 088 801","","000 389 976","000 180 390","000 209 586","","000 097 267","000 050 722","000 046 545","","000 048 273","000 030 842","000 017 431","","000 157 114","000 090 412","000 066 702","","000 060 906","000 038 053","000 022 853","","000 002 719","000 001 723","000 000 996","","000 000 589","000 000 407","000 000 182","","000 050 545","000 028 513","000 022 032",""
